Store ID,Store Name,Positive Feedback,Feeback Store,Date Opened,Item as Described,Communication,Shipping Speed,Time Scraped
639576,FunkyBeauty,1631,94.8,22 Oct 2013,4.5,4.6,4.5,2017-04-30 01:21:06.014761
114245,HZIJUE Street Wear Store,18382,97.3,29 Aug 2012,4.6,4.6,4.4,2017-04-30 01:21:06.966284
1847694,Super T Shirts,5827,98.7,08 Jul 2015,4.8,4.7,4.6,2017-04-30 01:21:08.027618
1856265,La La La you,9326,93.5,13 Jul 2015,4.5,4.6,4.4,2017-04-30 01:21:09.034557
712792,J&M Factory,2807,96.8,23 Jun 2012,4.6,4.6,4.4,2017-04-30 01:21:10.023112
1908258,THE COOLMIND Store,11561,97.9,24 Aug 2015,4.7,4.6,4.4,2017-04-30 01:21:11.008909
2346143,Men Ifu Store,6146,94.6,26 Jul 2016,4.5,4.6,4.3,2017-04-30 01:21:12.003400
932882,FORGIVENESS FGSS Store,6956,96.7,04 Aug 2013,4.6,4.5,4.4,2017-04-30 01:21:12.922434
1957533,Simple pleasure&simple life,5512,98.4,11 Nov 2015,4.7,4.7,4.6,2017-04-30 01:21:13.823228
1724512,BAIJOE MEN Store,5320,96.2,13 Mar 2015,4.6,4.7,4.5,2017-04-30 01:21:14.837020
1665279,ANGRYGOLDFISH 6 Store,12638,98.1,08 Jan 2015,4.7,4.7,4.5,2017-04-30 01:21:15.733251
1925543,Fashion Men Design,2580,97.8,18 Sep 2015,4.7,4.8,4.7,2017-04-30 01:21:16.594030
734050,Lance Donovan Professional Men Apparel & Accessories Store,19386,96.1,15 Aug 2013,4.6,4.6,4.5,2017-04-30 01:21:17.612510
1382641,Family Underwear Store,7241,95.5,20 Jul 2014,4.6,4.6,4.4,2017-04-30 01:21:18.738290
1500977,Happy Square Shopping Center,12028,98.2,11 Nov 2014,4.7,4.6,4.4,2017-04-30 01:21:19.791483
1153090,MOKMORSMclothing NO.999 Store Store,9248,96.5,23 Feb 2014,4.6,4.6,4.4,2017-04-30 01:21:20.827122
1873745,"Hangzhou export co., LTD",6455,97.8,27 Jul 2015,4.7,4.7,4.6,2017-04-30 01:21:21.870364
1972984,good faith management fur,2748,98.2,08 Dec 2015,4.7,4.8,4.8,2017-04-30 01:21:22.891021
527433,Pure Box,7112,98.2,29 May 2013,4.7,4.6,4.4,2017-04-30 01:21:23.874614
1213446,golden diamond,4214,96.6,11 Apr 2014,4.6,4.6,4.4,2017-04-30 01:21:24.881785
505512,Q-IMAGE Official Store,7973,97.1,12 Jan 2011,4.7,4.7,4.7,2017-04-30 01:21:25.810796
1114889,Fashionable Forefront Store,8026,96.7,11 Feb 2014,4.7,4.7,4.4,2017-04-30 01:21:26.767736
1209587,PioneerCamp Official Flagship Store,38927,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:21:27.725403
633893,Hip Top,19500,97.6,14 Aug 2013,4.7,4.6,4.4,2017-04-30 01:21:28.807878
1702269,JWJ STORE,20644,98.6,01 Feb 2015,4.8,4.7,4.7,2017-04-30 01:21:29.754528
1803487,Explosive menswear,1722,94.5,08 May 2015,4.4,4.5,4.3,2017-04-30 01:21:30.728990
513064,Mwxsd xishuo Store,23027,96.6,03 Jul 2012,4.5,4.6,4.5,2017-04-30 01:21:31.579882
1241475,MRMT Lovepure Store,2270,96.5,26 Apr 2014,4.5,4.6,4.5,2017-04-30 01:21:32.447367
1854480,HEYKESON Official Store,16714,96.4,06 Jul 2015,4.6,4.7,4.5,2017-04-30 01:21:33.500968
1407168,"Beijing schoenberg factory wholesale trade co., LTD",9346,96.6,16 Aug 2014,4.6,4.6,4.5,2017-04-30 01:21:34.725960
2554001,GD ss Store,313,97.8,25 Sep 2016,4.6,4.6,4.6,2017-04-30 01:21:35.858368
2809083,Ms Arya Store,615,97.8,07 Feb 2017,4.7,4.7,4.6,2017-04-30 01:21:37.091236
2666161,uncle Loong Store,823,99.2,28 Oct 2016,4.8,4.7,4.6,2017-04-30 01:21:38.226981
1900649,Shanghai Shirt Company,3352,98.5,20 Aug 2015,4.7,4.7,4.6,2017-04-30 01:21:39.417601
1873745,"Hangzhou export co., LTD",6455,97.8,27 Jul 2015,4.7,4.7,4.6,2017-04-30 01:21:40.494142
2162008,Superheros,10070,98.3,14 Apr 2016,4.8,4.7,4.5,2017-04-30 01:21:41.485925
1312063,Fashion  Women Clothes,19101,95.5,17 Jun 2014,4.5,4.5,4.3,2017-04-30 01:21:43.266079
2343292,Yi Sheng Yi Shi Store,3918,92.5,09 Aug 2016,4.4,4.5,4.3,2017-04-30 01:21:44.206055
1209587,PioneerCamp Official Flagship Store,38927,98.9,13 Apr 2014,4.8,4.9,4.7,2017-04-30 01:21:45.100712
